# name	country_code	admin1	lat	lon	population
Jerusalem	IL	JM	31.76904	35.21633	801000
Tel Aviv	IL	TA	32.08088	34.78057	432892
Gaza	PS	GZ	31.50161	34.46672	410000
Geneva	CH	GE	46.20222	6.14569	183981
Washington	US	DC	38.89511	-77.03637	601723
London	GB	ENG	51.50853	-0.12574	8961989
Paris	FR	IDF	48.85341	2.3488	2138551
New York City	US	NY	40.71427	-74.00597	8175133
Cairo	EG	C	30.06263	31.24967	7734614
Beirut	LB	BA	33.88894	35.49442	1916100
Ramallah	PS	WE	31.90294	35.20621	38998
Tehran	IR	07	35.69439	51.42151	7153309
Moscow	RU	48	55.75222	37.61556	10381222
Kyiv	UA	30	50.45466	30.5238	2797553
Brussels	BE	BRU	50.85045	4.34878	1019022
